"","YEAR","MONTH","DATE","SITE","TRANSECT","SP_CODE","AFDM","SCIENTIFIC_NAME","TAXON_CLASS","GROWTH_MORPH","COARSE_GROUPING"
"53574",2006,7,"2006-07-26","AQUE",6,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"53575",2006,7,"2006-07-26","AQUE",6,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"53596",2006,7,"2006-07-26","AQUE",6,"SFL",0.855156267490546,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"53605",2006,7,"2006-07-26","AQUE",6,"SPL",0,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"53617",2006,7,"2006-07-26","AQUE",6,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"53632",2006,7,"2006-07-27","ABUR",1,"AML",0,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"53637",2006,7,"2006-07-27","ABUR",1,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"53638",2006,7,"2006-07-27","ABUR",1,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"53663",2006,7,"2006-07-27","ABUR",1,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"53665",2006,7,"2006-07-27","ABUR",1,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"53676",2006,7,"2006-07-27","ABUR",1,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"53686",2006,7,"2006-07-27","ABUR",1,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"53692",2006,7,"2006-07-27","ABUR",1,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"53695",2006,7,"2006-07-27","ABUR",1,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"53725",2006,7,"2006-07-27","ABUR",1,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"53728",2006,7,"2006-07-27","ABUR",1,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"53739",2006,7,"2006-07-27","ABUR",1,"KEKE",0,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"53740",2006,7,"2006-07-27","ABUR",1,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"53745",2006,7,"2006-07-27","ABUR",1,"LIGL",0,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"53749",2006,7,"2006-07-27","ABUR",1,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"53755",2006,7,"2006-07-27","ABUR",1,"MECR",0,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"53756",2006,7,"2006-07-27","ABUR",1,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"53765",2006,7,"2006-07-27","ABUR",1,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"53768",2006,7,"2006-07-27","ABUR",1,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"53770",2006,7,"2006-07-27","ABUR",1,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"53771",2006,7,"2006-07-27","ABUR",1,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"53773",2006,7,"2006-07-27","ABUR",1,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"53777",2006,7,"2006-07-27","ABUR",1,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"53778",2006,7,"2006-07-27","ABUR",1,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"53780",2006,7,"2006-07-27","ABUR",1,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"53784",2006,7,"2006-07-27","ABUR",1,"PGL",0.0782151630791256,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"53785",2006,7,"2006-07-27","ABUR",1,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"53794",2006,7,"2006-07-27","ABUR",1,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"53802",2006,7,"2006-07-27","ABUR",1,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"53803",2006,7,"2006-07-27","ABUR",1,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"53824",2006,7,"2006-07-27","ABUR",1,"SFL",0,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"53833",2006,7,"2006-07-27","ABUR",1,"SPL",0,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"53845",2006,7,"2006-07-27","ABUR",1,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"53860",2006,7,"2006-07-27","ABUR",2,"AML",0,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"53865",2006,7,"2006-07-27","ABUR",2,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"53866",2006,7,"2006-07-27","ABUR",2,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"53891",2006,7,"2006-07-27","ABUR",2,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"53893",2006,7,"2006-07-27","ABUR",2,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"53904",2006,7,"2006-07-27","ABUR",2,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"53914",2006,7,"2006-07-27","ABUR",2,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"53920",2006,7,"2006-07-27","ABUR",2,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"53923",2006,7,"2006-07-27","ABUR",2,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"53953",2006,7,"2006-07-27","ABUR",2,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"53956",2006,7,"2006-07-27","ABUR",2,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"53967",2006,7,"2006-07-27","ABUR",2,"KEKE",0,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"53968",2006,7,"2006-07-27","ABUR",2,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"53973",2006,7,"2006-07-27","ABUR",2,"LIGL",0,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"53977",2006,7,"2006-07-27","ABUR",2,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"53983",2006,7,"2006-07-27","ABUR",2,"MECR",0,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"53984",2006,7,"2006-07-27","ABUR",2,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"53993",2006,7,"2006-07-27","ABUR",2,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"53996",2006,7,"2006-07-27","ABUR",2,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"53998",2006,7,"2006-07-27","ABUR",2,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"53999",2006,7,"2006-07-27","ABUR",2,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54001",2006,7,"2006-07-27","ABUR",2,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54005",2006,7,"2006-07-27","ABUR",2,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"54006",2006,7,"2006-07-27","ABUR",2,"PAPA",0,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"54008",2006,7,"2006-07-27","ABUR",2,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"54012",2006,7,"2006-07-27","ABUR",2,"PGL",0,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"54013",2006,7,"2006-07-27","ABUR",2,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"54022",2006,7,"2006-07-27","ABUR",2,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"54030",2006,7,"2006-07-27","ABUR",2,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"54031",2006,7,"2006-07-27","ABUR",2,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"54052",2006,7,"2006-07-27","ABUR",2,"SFL",0,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"54061",2006,7,"2006-07-27","ABUR",2,"SPL",0,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"54073",2006,7,"2006-07-27","ABUR",2,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"54088",2006,7,"2006-07-27","MOHK",1,"AML",0,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"54093",2006,7,"2006-07-27","MOHK",1,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"54094",2006,7,"2006-07-27","MOHK",1,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"54119",2006,7,"2006-07-27","MOHK",1,"CASP",2.25047866963769,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"54121",2006,7,"2006-07-27","MOHK",1,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"54132",2006,7,"2006-07-27","MOHK",1,"COCA",0.137049156139954,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"54142",2006,7,"2006-07-27","MOHK",1,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"54148",2006,7,"2006-07-27","MOHK",1,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"54151",2006,7,"2006-07-27","MOHK",1,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"54181",2006,7,"2006-07-27","MOHK",1,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"54184",2006,7,"2006-07-27","MOHK",1,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"54195",2006,7,"2006-07-27","MOHK",1,"KEKE",0.0177152449271787,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"54196",2006,7,"2006-07-27","MOHK",1,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"54201",2006,7,"2006-07-27","MOHK",1,"LIGL",0.149396996695029,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"54205",2006,7,"2006-07-27","MOHK",1,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"54211",2006,7,"2006-07-27","MOHK",1,"MECR",3.20026713673321,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"54212",2006,7,"2006-07-27","MOHK",1,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"54221",2006,7,"2006-07-27","MOHK",1,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"54224",2006,7,"2006-07-27","MOHK",1,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"54226",2006,7,"2006-07-27","MOHK",1,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"54227",2006,7,"2006-07-27","MOHK",1,"OPES",0.255441368666904,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54229",2006,7,"2006-07-27","MOHK",1,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54233",2006,7,"2006-07-27","MOHK",1,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"54234",2006,7,"2006-07-27","MOHK",1,"PAPA",1.15302635535788,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"54236",2006,7,"2006-07-27","MOHK",1,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"54240",2006,7,"2006-07-27","MOHK",1,"PGL",1.47639164317481,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"54241",2006,7,"2006-07-27","MOHK",1,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"54250",2006,7,"2006-07-27","MOHK",1,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"54258",2006,7,"2006-07-27","MOHK",1,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"54259",2006,7,"2006-07-27","MOHK",1,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"54280",2006,7,"2006-07-27","MOHK",1,"SFL",8.32971380804931,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"54289",2006,7,"2006-07-27","MOHK",1,"SPL",14.5751829293582,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"54301",2006,7,"2006-07-27","MOHK",1,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"54316",2006,7,"2006-07-27","MOHK",2,"AML",1.87806167583498,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"54321",2006,7,"2006-07-27","MOHK",2,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"54322",2006,7,"2006-07-27","MOHK",2,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"54347",2006,7,"2006-07-27","MOHK",2,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"54349",2006,7,"2006-07-27","MOHK",2,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"54360",2006,7,"2006-07-27","MOHK",2,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"54370",2006,7,"2006-07-27","MOHK",2,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"54376",2006,7,"2006-07-27","MOHK",2,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"54379",2006,7,"2006-07-27","MOHK",2,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"54409",2006,7,"2006-07-27","MOHK",2,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"54412",2006,7,"2006-07-27","MOHK",2,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"54423",2006,7,"2006-07-27","MOHK",2,"KEKE",0.0708609797087148,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"54424",2006,7,"2006-07-27","MOHK",2,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"54429",2006,7,"2006-07-27","MOHK",2,"LIGL",0,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"54433",2006,7,"2006-07-27","MOHK",2,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"54439",2006,7,"2006-07-27","MOHK",2,"MECR",1.68049026672384,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"54440",2006,7,"2006-07-27","MOHK",2,"MIID",0.148049427682205,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"54449",2006,7,"2006-07-27","MOHK",2,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"54452",2006,7,"2006-07-27","MOHK",2,"OCTO",0.160129180456574,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"54454",2006,7,"2006-07-27","MOHK",2,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"54455",2006,7,"2006-07-27","MOHK",2,"OPES",0.0466354953538694,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54457",2006,7,"2006-07-27","MOHK",2,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54461",2006,7,"2006-07-27","MOHK",2,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"54462",2006,7,"2006-07-27","MOHK",2,"PAPA",0.780104164806557,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"54464",2006,7,"2006-07-27","MOHK",2,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"54468",2006,7,"2006-07-27","MOHK",2,"PGL",1.59862109030215,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"54469",2006,7,"2006-07-27","MOHK",2,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"54478",2006,7,"2006-07-27","MOHK",2,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"54486",2006,7,"2006-07-27","MOHK",2,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"54487",2006,7,"2006-07-27","MOHK",2,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"54508",2006,7,"2006-07-27","MOHK",2,"SFL",1.63656888842812,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"54517",2006,7,"2006-07-27","MOHK",2,"SPL",67.0417710640281,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"54529",2006,7,"2006-07-27","MOHK",2,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"54544",2007,7,"2007-07-16","GOLB",1,"AML",0.146097777301523,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"54549",2007,7,"2007-07-16","GOLB",1,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"54550",2007,7,"2007-07-16","GOLB",1,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"54575",2007,7,"2007-07-16","GOLB",1,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"54577",2007,7,"2007-07-16","GOLB",1,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"54588",2007,7,"2007-07-16","GOLB",1,"COCA",0,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"54598",2007,7,"2007-07-16","GOLB",1,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"54604",2007,7,"2007-07-16","GOLB",1,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"54607",2007,7,"2007-07-16","GOLB",1,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"54637",2007,7,"2007-07-16","GOLB",1,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"54640",2007,7,"2007-07-16","GOLB",1,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"54651",2007,7,"2007-07-16","GOLB",1,"KEKE",0,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"54652",2007,7,"2007-07-16","GOLB",1,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"54657",2007,7,"2007-07-16","GOLB",1,"LIGL",0,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"54661",2007,7,"2007-07-16","GOLB",1,"LOGR",0.540133815376924,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"54667",2007,7,"2007-07-16","GOLB",1,"MECR",0.301802424250052,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"54668",2007,7,"2007-07-16","GOLB",1,"MIID",0,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"54677",2007,7,"2007-07-16","GOLB",1,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"54680",2007,7,"2007-07-16","GOLB",1,"OCTO",0,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"54682",2007,7,"2007-07-16","GOLB",1,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"54683",2007,7,"2007-07-16","GOLB",1,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54685",2007,7,"2007-07-16","GOLB",1,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54689",2007,7,"2007-07-16","GOLB",1,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"54690",2007,7,"2007-07-16","GOLB",1,"PAPA",0.411308285665305,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"54692",2007,7,"2007-07-16","GOLB",1,"PBL",1.42574677302129,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"54696",2007,7,"2007-07-16","GOLB",1,"PGL",1.62006544049038,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"54697",2007,7,"2007-07-16","GOLB",1,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"54706",2007,7,"2007-07-16","GOLB",1,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"54714",2007,7,"2007-07-16","GOLB",1,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"54715",2007,7,"2007-07-16","GOLB",1,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
"54736",2007,7,"2007-07-16","GOLB",1,"SFL",0,"Mesocentrotus franciscanus","Echinoidea","SOLITARY","MOBILE INVERT"
"54745",2007,7,"2007-07-16","GOLB",1,"SPL",9.00773957003562,"Strongylocentrotus purpuratus","Echinoidea","SOLITARY","MOBILE INVERT"
"54757",2007,7,"2007-07-16","GOLB",1,"TESP",0,"Tegula spp. ","Gastropoda","SOLITARY","MOBILE INVERT"
"54772",2007,7,"2007-07-16","GOLB",2,"AML",0.247563486561464,"Patiria miniata","Asteroidea","SOLITARY","MOBILE INVERT"
"54777",2007,7,"2007-07-16","GOLB",2,"APCA",0,"Aplysia californica","Gastropoda","SOLITARY","MOBILE INVERT"
"54778",2007,7,"2007-07-16","GOLB",2,"APVA",0,"Aplysia vaccaria","Gastropoda","SOLITARY","MOBILE INVERT"
"54803",2007,7,"2007-07-16","GOLB",2,"CASP",0,"Cancer spp. ","Malacostraca","SOLITARY","MOBILE INVERT"
"54805",2007,7,"2007-07-16","GOLB",2,"CECO",0,"Centrostephanus coronatus","Echinoidea","SOLITARY","MOBILE INVERT"
"54816",2007,7,"2007-07-16","GOLB",2,"COCA",0.00829375982500543,"Californiconus californicus","Gastropoda","AGGREGATED","MOBILE INVERT"
"54826",2007,7,"2007-07-16","GOLB",2,"CUKE",0,"Apostichopus californicus","Holothuroidea","SOLITARY","MOBILE INVERT"
"54832",2007,7,"2007-07-16","GOLB",2,"CYSP",0,"Neobernaya spadicea","Gastropoda","SOLITARY","MOBILE INVERT"
"54835",2007,7,"2007-07-16","GOLB",2,"DIL",0,"Dermasterias imbricata","Asteroidea","SOLITARY","MOBILE INVERT"
"54865",2007,7,"2007-07-16","GOLB",2,"HACO",0,"Haliotis corrugata","Gastropoda","SOLITARY","MOBILE INVERT"
"54868",2007,7,"2007-07-16","GOLB",2,"HARU",0,"Haliotis rufescens","Gastropoda","SOLITARY","MOBILE INVERT"
"54879",2007,7,"2007-07-16","GOLB",2,"KEKE",0,"Kelletia kelletii","Gastropoda","SOLITARY","MOBILE INVERT"
"54880",2007,7,"2007-07-16","GOLB",2,"LA",0,"Lytechinus pictus","Echinoidea","SOLITARY","MOBILE INVERT"
"54885",2007,7,"2007-07-16","GOLB",2,"LIGL",0,"Pomaulax gibberosus; Megastraea undosa","Gastropoda","SOLITARY","MOBILE INVERT"
"54889",2007,7,"2007-07-16","GOLB",2,"LOGR",0,"Loxorhynchus grandis","Malacostraca","SOLITARY","MOBILE INVERT"
"54895",2007,7,"2007-07-16","GOLB",2,"MECR",0.626565829189516,"Megathura crenulata","Gastropoda","SOLITARY","MOBILE INVERT"
"54896",2007,7,"2007-07-16","GOLB",2,"MIID",0.0618311156463258,"Atrimitra idae","Gastropoda","SOLITARY","MOBILE INVERT"
"54905",2007,7,"2007-07-16","GOLB",2,"NONO",0,"Norrisia norrisii","Gastropoda","SOLITARY","MOBILE INVERT"
"54908",2007,7,"2007-07-16","GOLB",2,"OCTO",0.0826548085284353,"Octopus spp. ","Cephalopoda","SOLITARY","MOBILE INVERT"
"54910",2007,7,"2007-07-16","GOLB",2,"OKL",0,"Orthasterias koehleri","Asteroidea","SOLITARY","MOBILE INVERT"
"54911",2007,7,"2007-07-16","GOLB",2,"OPES",0,"Ophioplocus esmarki","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54913",2007,7,"2007-07-16","GOLB",2,"OPSP",0,"Ophiothrix spiculata","Ophiuroidea","SOLITARY","MOBILE INVERT"
"54917",2007,7,"2007-07-16","GOLB",2,"PAIN",0,"Panulirus interruptus","Malacostraca","SOLITARY","MOBILE INVERT"
"54918",2007,7,"2007-07-16","GOLB",2,"PAPA",1.38228810791451,"Apostichopus parvimensis","Holothuroidea","SOLITARY","MOBILE INVERT"
"54920",2007,7,"2007-07-16","GOLB",2,"PBL",0,"Pisaster brevispinus","Asteroidea","SOLITARY","MOBILE INVERT"
"54924",2007,7,"2007-07-16","GOLB",2,"PGL",0.861818836862203,"Pisaster giganteus","Asteroidea","SOLITARY","MOBILE INVERT"
"54925",2007,7,"2007-07-16","GOLB",2,"PHL",0,"Pycnopodia helianthoides","Asteroidea","SOLITARY","MOBILE INVERT"
"54934",2007,7,"2007-07-16","GOLB",2,"POL",0,"Pisaster ochraceus","Asteroidea","SOLITARY","MOBILE INVERT"
"54942",2007,7,"2007-07-16","GOLB",2,"PTTR",0,"Pteropurpura trialata","Gastropoda","SOLITARY","MOBILE INVERT"
"54943",2007,7,"2007-07-16","GOLB",2,"PUPR",0,"Pugettia producta","Malacostraca","SOLITARY","MOBILE INVERT"
